#B-V	U-B
0.22	0.1
1.37	1.18
0.097	0.11
0.1	0.11
1.04	0.62
1.03	0.66
-0.028	-0.12
-0.03	-0.12
-0.03	-0.12
0.86	0.46
0.78	0.38
1.15	0.98
0.175	0.13
0.18	0.13
0.83	0.39
0.71	0.24
0.434	0.02
0.44	0.02
0.82	0.36
0.76	0.26
1.1	0.96
0.98	0.68
1.59	1.04
0.22	0.13
-0.052	-0.19
-0.05	-0.19
-0.05	-0.19
0.83	0.46
0.162	0.15
0.16	0.15
0.169	0.14
0.164	0.132
0.077	0.08
0.08	0.08
0.6	0.08
0.06	-0.06
1.22	0.94
1.16	0.985
1.233	0.924
0.73	0.25
0.74	0.27
0.83	0.44
0.134	0.12
0.13	0.12
1	0.8
0.6	0.07
0.086	0.03
0.09	0.03
1.07	0.89
0.86	0.37
0.95	0.56
1.15	0.92
1.25	1.05
1	0.85
0.16	0.14
1.19	0.97
1.4	1.16
1.35	1.18
0.384	0.05
0.38	0.05
0.46	0.09
1.17	1
1.16	0.88
1.24	1.03
1.12	0.96
1	0.66
0.74	0.25
1.29	1.1
0.73	0.19
0.98	0.64
0.56	0.05
1.16	1.04
1.1	0.89
1.15	0.73
0.57	0.06
0.51	0.01
0.36	0.02
0.04	0.03
0.15	0.18
0.16	0.18
0.08	0.02
0.35	0.04
0.44	0.01
0.46	0.02
0.54	0.03
0.57	0.04
0.49	0.02
0.48	0.13
0.18	0.13
0.19	0.15
0.22	0.12
0.22	0.13
0.36	0.12
0.26	0.14
0.38	-0.01
0.18	0.12
0.03	-0.02
0.52	0.06
-0.01	-0.32
-0.01	-0.32
0.5	0.01
0.53	0.09
0.16	0.13
0.48	-0.02
0.48	-0.02
0.48	-0.02
0.12	0.15
0.12	0.16
0.54	0.12
0.43	-0.03
0.67	0.16
0.26	0.12
0.04	-0.01
1.13	0.8
0.99	0.32
0.99	0.56
0.89	0.8
1.92	1.35
1.5	0.32
1.16	0.36
0.67	0.12
1.82	1.8
0.91	0.88
1.7	2.3
0.28	-0.2
0.72	0.04
0.95	0.44
1.52	1.47
1.03	0.58
1.7	0.99
0.8	0.41
1.54	1.32
1.64	1.31
