#No RA DEC PM_RA PM_RA_ERR PM_DEC PM_DEC_ERR
306 351.3025837 61.55752224 -1.855199979 0.027814157 -0.992904552 0.023518402
316 350.9840669 61.61785616 -1.876033124 0.030321775 -1.282610065 0.0275746
321 351.1704388 61.64482432 -1.708818564 0.037018024 -1.345824166 0.029973043
324 351.3300543 61.68588896 -1.938639187 0.033391796 -1.474122089 0.026459158
325 350.8888683 61.59397261 -1.940017392 0.038338267 -1.294692156 0.03055236
326 350.8165171 61.57378293 -2.228348299 0.033438407 -1.115502425 0.027592341
332 351.2760888 61.62394089 -1.91695559 0.027783422 -1.144310874 0.024159635
338 351.1690395 61.59024496 -2.082779403 0.032092883 -1.210258998 0.026144879
346 351.2032443 61.53675832 -1.799486752 0.026088925 -1.284910857 0.022936593
348 351.1263368 61.5766668 -1.87654809 0.037199698 -1.189332905 0.029252423
349 351.1755241 61.67984774 -1.790515 0.039863584 -1.429783906 0.034203694
352 351.317439 61.50159453 -1.798130179 0.027688114 -1.175717164 0.022180313
367 351.2756445 61.69863794 -2.268915846 0.04548145 -1.471732437 0.036315318
369 351.352796 61.53392322 -2.095980841 0.0323524 -1.187206114 0.02835606
370 351.5382175 61.71327843 -2.267959238 0.037167548 -1.18508615 0.028673806
377 351.2587516 61.55779691 -1.928980457 0.024494407 -1.099740075 0.022326029
388 351.0719416 61.5727245 -1.996667663 0.037325433 -1.364671421 0.030204076
389 351.3909518 61.6824504 -1.321972287 0.030892472 -1.226269457 0.025092243
390 351.1781811 61.65879399 -1.963663256 0.02866273 -1.105803716 0.024769481
399 351.0983827 61.54599418 -1.53475605 0.03012216 -1.162609308 0.026634777
401 351.5692311 61.76800494 -2.19963907 0.026671111 -1.219785113 0.022238112
407 351.2976297 61.45779657 -2.118907559 0.025762388 -1.109021612 0.021934851
408 351.0526483 61.53489542 -1.924514076 0.031829952 -1.222183292 0.028136035
412 351.3964093 61.625666 -1.954407827 0.031494864 -1.128009619 0.026257933
418 351.2349889 61.58167921 -1.941632468 0.032361067 -1.213120537 0.028509508
424 351.2160901 61.60850415 -1.625060509 0.033164821 -1.393605611 0.026864939
431 351.2428858 61.63608586 -1.898850441 0.031521696 -1.036687908 0.02571713
434 351.1715689 61.4439242 -2.00097482 0.030748422 -1.08666647 0.026839833
440 350.9694456 61.40288572 -1.827895922 0.027987882 -1.162190358 0.023121908
443 351.3410661 61.65845264 -2.045657294 0.030713876 -1.291774493 0.02629452
445 351.4292278 61.64846977 -1.858632871 0.027001445 -1.28629307 0.024440157
448 351.1018025 61.50682532 -1.948756176 0.030487291 -1.279248764 0.025114778
451 351.4498146 61.65336262 -1.932871633 0.031997056 -1.153542529 0.024378342
452 351.2310801 61.59476709 -1.892193236 0.031717032 -1.265271734 0.025572846
459 351.2211359 61.58947461 -1.988614542 0.027668457 -1.246813307 0.026864893
465 351.1240373 61.60811283 -1.799664139 0.039721216 -1.549459796 0.035223898
466 351.2414965 61.59462599 -1.951156674 0.031212723 -1.18747824 0.025761962
468 351.4284567 61.65643703 -2.023615596 0.032232946 -1.094226752 0.026926648
473 351.1803338 61.58959483 -1.965833882 0.02794067 -1.200099989 0.024611503
482 351.2983295 61.61756496 -1.931086324 0.028504481 -1.343744581 0.024544149
483 351.2605134 61.65072966 -2.146815531 0.027771781 -1.129412088 0.024020637
485 351.2342568 61.36907478 -2.416755201 0.029305355 -1.177991354 0.024621877
491 351.2665717 61.6613945 -1.84700729 0.034054519 -1.256554788 0.028167635
507 351.1186915 61.7853171 -2.003940994 0.030508245 -1.273322132 0.024950837
516 350.8326511 61.72211184 -1.936566013 0.040902446 -1.297131751 0.032000845
522 350.8943129 61.67501061 -2.043536674 0.031611363 -1.417341343 0.025960431
541 350.8277863 61.76110322 -2.023426393 0.028650484 -1.193975423 0.023393373
549 350.7106593 61.64089287 -2.280152591 0.031231191 -1.014733643 0.025171978
551 350.6907972 61.64875045 -2.309231513 0.031094869 -1.557843774 0.025439913
